Site_ID,Detector,Direction,Street,Type,Intersection
10026,1,SB,Main,Signal,Sand Hill Road - Major Road 
10026,2,SB,Main,Signal,Sand Hill Road - Major Road 
10026,3,WB,Minor,Signal,Sand Hill Road - Major Road 
10026,4,WB,Minor,Signal,Sand Hill Road - Major Road 
10026,5,WB,Minor,Signal,Sand Hill Road - Major Road 
10026,6,NB,Main,Signal,Sand Hill Road - Major Road 
10026,7,NB,Main,Signal,Sand Hill Road - Major Road 
10026,8,EB,Minor,Signal,Sand Hill Road - Major Road 
10026,9,EB,Minor,Signal,Sand Hill Road - Major Road 
10026,10,EB,Minor,Signal,Sand Hill Road - Major Road 
10026,17,SB,Main,MidBlock,Sand Hill Road - Major Road 
10026,18,SB,Main,MidBlock,Sand Hill Road - Major Road 
10026,21,NB,Main,MidBlock,Sand Hill Road - Major Road 
10026,22,NB,Main,MidBlock,Sand Hill Road - Major Road 
1800,1,SB,Main,Signal,Hillsdale Lane 
1800,2,SB,Main,Signal,Hillsdale Lane 
1800,3,SB,Main,Signal,Hillsdale Lane 
1800,4,SB,Main,Signal,Hillsdale Lane 
1800,5,EB,Minor,Signal,Hillsdale Lane 
1800,6,EB,Minor,Signal,Hillsdale Lane 
1800,7,NB,Main,Signal,Hillsdale Lane 
1800,8,NB,Main,Signal,Hillsdale Lane 
1800,9,NB,Main,Signal,Hillsdale Lane 
1800,10,NB,Main,Signal,Hillsdale Lane 
1800,11,WB,Minor,Signal,Hillsdale Lane 
1800,12,WB,Minor,Signal,Hillsdale Lane 
1800,17,NB,Main,MidBlock,Hillsdale Lane 
1800,18,NB,Main,MidBlock,Hillsdale Lane 
1800,19,NB,Main,MidBlock,Hillsdale Lane 
1800,20,NB,Main,MidBlock,Hillsdale Lane 
1800,21,SB,Main,MidBlock,Hillsdale Lane 
1800,22,SB,Main,MidBlock,Hillsdale Lane 
1800,23,SB,Main,MidBlock,Hillsdale Lane 
1801,1,SB,Main,Signal,Rues Lane
1801,2,SB,Main,Signal,Rues Lane
1801,3,SB,Main,Signal,Rues Lane
1801,4,EB,Minor,Signal,Rues Lane
1801,5,EB,Minor,Signal,Rues Lane
1801,6,EB,Minor,Signal,Rues Lane
1801,7,NB,Main,Signal,Rues Lane
1801,8,NB,Main,Signal,Rues Lane
1801,9,NB,Main,Signal,Rues Lane
1801,10,WB,Minor,Signal,Rues Lane
1801,11,WB,Minor,Signal,Rues Lane
1801,17,NB,Main,MidBlock,Rues Lane
1801,18,NB,Main,MidBlock,Rues Lane
1801,19,NB,Main,MidBlock,Rues Lane
1802,1,SB,Main,Signal,East Brunswick Square Mall Driveway 
1802,2,SB,Main,Signal,East Brunswick Square Mall Driveway 
1802,3,SB,Main,Signal,East Brunswick Square Mall Driveway 
1802,4,WB,Minor,Signal,East Brunswick Square Mall Driveway 
1802,5,WB,Minor,Signal,East Brunswick Square Mall Driveway 
1802,6,NB,Main,Signal,East Brunswick Square Mall Driveway 
1802,7,NB,Main,Signal,East Brunswick Square Mall Driveway 
1802,8,NB,Main,Signal,East Brunswick Square Mall Driveway 
1802,9,EB,Minor,Signal,East Brunswick Square Mall Driveway 
1802,10,EB,Minor,Signal,East Brunswick Square Mall Driveway 
1803,1,SB,Main,Signal,Racetrack Road 
1803,2,SB,Main,Signal,Racetrack Road 
1803,3,SB,Main,Signal,Racetrack Road 
1803,4,WB,Minor,Signal,Racetrack Road 
1803,5,WB,Minor,Signal,Racetrack Road 
1803,6,NB,Main,Signal,Racetrack Road 
1803,7,NB,Main,Signal,Racetrack Road 
1803,8,NB,Main,Signal,Racetrack Road 
1803,9,EB,Minor,Signal,Racetrack Road 
1803,10,EB,Minor,Signal,Racetrack Road 
1804,1,SB,Main,Signal,Arthur Street 
1804,2,SB,Main,Signal,Arthur Street 
1804,3,SB,Main,Signal,Arthur Street 
1804,4,WB,Minor,Signal,Arthur Street 
1804,5,WB,Minor,Signal,Arthur Street 
1804,6,NB,Minor,Signal,Arthur Street 
1804,7,NB,Minor,Signal,Arthur Street 
1804,8,NB,Minor,Signal,Arthur Street 
1804,9,EB,Minor,Signal,Arthur Street 
1804,10,EB,Minor,Signal,Arthur Street 
1804,21,SB,Main,MidBlock,Arthur Street 
1804,22,SB,Main,MidBlock,Arthur Street 
1804,23,SB,Main,MidBlock,Arthur Street 
1804,24,SB,Main,MidBlock,Arthur Street 
1805,1,SB,Main,Signal,West Ferris Street 
1805,2,SB,Main,Signal,West Ferris Street 
1805,3,SB,Main,Signal,West Ferris Street 
1805,4,WB,Minor,Signal,West Ferris Street 
1805,5,WB,Minor,Signal,West Ferris Street 
1805,6,NB,Main,Signal,West Ferris Street 
1805,7,NB,Main,Signal,West Ferris Street 
1805,8,NB,Main,Signal,West Ferris Street 
1805,9,EB,Minor,Signal,West Ferris Street 
1805,10,EB,Minor,Signal,West Ferris Street 
1805,17,NB,Main,MidBlock,West Ferris Street 
1805,18,NB,Main,MidBlock,West Ferris Street 
1805,19,NB,Main,MidBlock,West Ferris Street 
1806,1,SB,Main,Signal,Highland Street - Shopping Center 
1806,2,SB,Main,Signal,Highland Street - Shopping Center 
1806,3,SB,Main,Signal,Highland Street - Shopping Center 
1806,4,EB,Minor,Signal,Highland Street - Shopping Center 
1806,5,EB,Minor,Signal,Highland Street - Shopping Center 
1806,6,EB,Minor,Signal,Highland Street - Shopping Center 
1806,7,NB,Main,Signal,Highland Street - Shopping Center 
1806,8,NB,Main,Signal,Highland Street - Shopping Center 
1806,9,NB,Main,Signal,Highland Street - Shopping Center 
1807,1,SB,Main,Signal,Tices Lane 
1807,2,SB,Main,Signal,Tices Lane 
1807,3,SB,Main,Signal,Tices Lane 
1807,4,EB,Minor,Signal,Tices Lane 
1807,5,EB,Minor,Signal,Tices Lane 
1807,6,NB,Main,Signal,Tices Lane 
1807,7,NB,Main,Signal,Tices Lane 
1807,8,NB,Main,Signal,Tices Lane 
1807,9,NB,Main,Signal,Tices Lane 
1807,10,WB,Minor,Signal,Tices Lane 
