Signal ID,SBL,SBT,SBR,EBL ,EBT,EBR,NBL,NBT,NBR,WBL,WBT,WBR,EBT_OLB,EBL_OLB,WBT_OLB,WBL_OLB,NBT_OLB,SBT_OLB,NBL_OLB,SBL_OLB
10012,,2,2,4,4,4,,6,6,3,3,3,,,,,,,,
10015,,6,6,4,4,4,,2,2,3,3,3,,,,,,,,
10017,,6,6,8,8,8,,2,2,4,4,4,,,,,,,,
10018,,2,2,8,8,8,,6,6,4,4,4,,,,,,,,
10019,,6,6,4,4,4,,2,2,3,3,3,,,,,,,,
10020,,6,6,7,4,4,,2,2,3,,3,,,,,,,,
10021,,6,6,3,8,8,,2,2,7,4,4,,,,,,,,
10022,,2,2,8,,8,,6,6,4,4,4,,,,,,,,
10023,,6,6,3,8,8,,2,2,7,4,4,,,,,,,,
10024,,6,6,3,3,3,,2,2,4,4,4,,,,,,,,
10025,,2,2,3,8,8,,6,6,7,4,4,,,,,,,,
10026,,6,6,3,8,8,,2,2,7,4,4,,,,,,,,
10027,,6,6,8,8,8,,2,2,4,4,4,,,,,,,,
10028,,6,6,8,8,8,,2,2,4,,4,,,,,,,,
10029,,6,6,3,8,8,,2,2,4,4,4,,,,,,,,
10030,,6,6,8,8,8,,2,2,4,,4,,,,,,,,
10031,,6,6,3,3,3,,2,2,4,4,4,,,,,,,,
10032,,6,6,7,4,4,,2,2,3,8,8,,,,,,,,
10033,,6,6,7,4,4,,2,2,3,8,8,,,,,,,,
10034,,6,6,7,4,4,,2,2,3,8,8,,,,,,,,
10035,,6,6,8,,8,,2,2,,,,,,,,,,,
10036,,6,6,3,,8,,2,2,4,4,4,,,,,,,,
10040,,6,6,3,3,3,,2,2,4,4,4,,,,,,,,
10041,,6,6,8,8,8,,2,2,4,4,4,,,,,,,,
10042,,6,6,3,3,3,,2,2,4,4,4,,,,,,,,
10043,,6,6,4,4,4,,2,2,8,8,8,,,,,,,,
10044,,6,6,4,,4,,2,2,,,,,,,,,,,
10045,,6,6,4,4,4,,2,2,8,8,8,,,,,,,,
10046,,6,6,8,,8,,2,2,,,,,,,,,,,
10047,,6,6,,4,4,,2,2,,8,8,,,,,,,,
10048,,6,6,,4,4,,2,2,,8,8,,,,,,,,
10049,6,6,6,4,4,4,2,2,2,3,8,8,,,,,,,,
10050,,6,6,,4,4,,2,2,,8,8,,,,,,,,
10051,,6,6,7,4,4,,2,2,3,8,8,,,,,,,,
10052,,6,6,,8,8,,2,2,,4,4,10,,9,,,,,
13080,1,6,,,,,,2,9,4,4,4,,,,,,,,
13081,1,6,6,3,8,8,5,2,2,,4,4,,,,,,,,
13082,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
13083,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
13084,5,2,2,4,4,4,1,6,6,4,4,4,,,,,,,,
13085,1,6,6,4,4,4,2,2,2,3,3,3,,,,,,,,
13091,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
13086,5,2,2,4,4,4,1,6,6,4,4,4,,,,,,,,
13087,,2,2,4,4,4,1,6,6,,,,,,,,,,,
13088,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
13089,,6,6,7,4,4,,2,9,3,8,8,,,,,,,,
13090,,10,,,,,,2,,4,,,,,,,,,,
13092,,6,6,4,4,4,5,2,,,,,,,,,,,,
13093,,6,,4,4,4,5,2,,,,,,,,,,,,
13094,,1,,2,,2,3,9,,2,2,,,,,,,,,
13095,4,4,4,5,2,2,3,3,3,1,6,,,,,,,,,
13096,10,4,4,1,6,6,3,8,9,5,2,,,,,,,,,
13097,,,,,,,,,,,,,,,,,,,,
7300,,2,2,3,8,8,,6,6,7,4,4,,,,,,,,
7301,,6,,4,4,,,2,2,3,,3,,,,,,,,
7302,,6,6,7,4,4,,2,2,3,8,8,,,,,,,,
7303,4,10,,12,11,,1,4,9,6,6,6,,,3,5,,,,
7305,5,2,2,4,4,4,1,6,6,8,8,8,,,,,,,,
7306,5,2,2,4,,4,1,6,,,,,,,,,,,,
7307,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
7308,1,6,6,3,8,8,5,2,2,7,4,4,,,,,,,,
7309,,2,,,8,8,,6,,,4,,,,,,,,,
7310,1,6,,,,,,2,2,4,,4,,,,,,,,
7311,,2,2,4,,,8,6,,,,,,,,,10,9,,
7312,5,2,,3,8,8,1,6,6,4,4,4,,,,,,,,
7304,,2,,4,,,1,6,,8,8,8,,,,,,,,
7314,1,6,6,7,4,4,5,2,,3,8,8,,,,,,,,
7315,,6,,9,3,3,5,2,2,4,4,4,,,,,,,,
7316,,6,,4,4,4,,2,,3,3,3,,,,,,,,
7317,,6,6,4,4,4,,2,,3,3,3,,,,,,,,
7318,,6,,4,4,4,,2,,3,3,3,,,,,,,,
7320,,6,,4,4,4,,2,,8,8,8,,,,,,,,
7321,,6,6,4,,4,5,2,,,,,,,,,,,,
7322,4,2,2,,,,,10,10,8,8,8,,,,,9,11,11,12
7323,1,6,6,8,,8,,2,2,4,,4,,,,,,,,
7324,,6,9,3,8,8,5,2,2,7,4,4,,,,,,,,
7325,,6,,4,,4,,2,,9,8,8,,,,,,,,
7326,,6,,4,4,4,,2,,3,3,3,,,,,,,,
7327,,2,2,4,4,4,,6,6,4,4,4,,,,,,,,
7328,,2,,4,,4,,2,,4,4,4,,,,,,,,
7329,,6,6,4,4,4,,2,,8,8,8,9,9,10,10,,,,
7319,,6,,7,4,4,,2,,3,8,8,,,,,,,,
1800,,2,,4,,,,6,,8,,,,,,,,,,
1801,,6,,4,4,4,,2,,9,9,9,,,,,,,,
1802,,6,,4,,,,2,,8,8,,,,,,,,,
1803,,2,,3,3,3,,6,,4,4,4,,,,,,,,
1804,,2,,4,4,4,,6,,3,3,3,,,,,,,,
1805,,6,,8,8,8,,2,,4,4,4,,,,,,,,
1806,,6,,4,,4,,2,,,,,,,,,,,,
1807,,6,6,,4,4,,2,2,3,8,8,,,,,,,,
1810,,6,6,3,,3,,2,9,4,4,4,,,,,,,,
1808,,9,9,4,4,,,2,,10,3,6,,,,,,,,
1812,,6,,4,4,4,,2,,3,8,8,,,,,,,,
1809,,2,2,,8,8,,6,,4,4,4,,,,,,,,
1811,,,,4,4,,,2,2,,,8,,,,,,,,
